"name","count","residential pop.","daytime pop.","trains","entry/exit","all passengers"
"London Bridge",44,0.499574227,0.024612837,2.630005977,0.206195229,0.072941516
"Latimer Road",4,0.024600095,0.016284788,0.921658986,0.613402852,0.092423577
"Leicester Square",39,0.319062774,0.018277003,2.544031311,0.378835712,0.093516209
"Liverpool Street",51,0.547163334,0.021958122,2.88788222,0.242468039,0.09709126
"Leyton",8,0.212828221,0.275055871,0.911161731,0.202547029,0.042289109
"Leytonstone",12,0.313332289,0.42707666,1.360544218,0.377109456,0.075727935
"Marble Arch",5,0.032166752,0.006826367,0.569476082,0.107462173,0.02004474
"Morden",5,0.306166187,0.270211846,0.609013398,0.210614996,0.210614996
"Mile End",29,0.28842233,0.321343882,1.730310263,0.656569087,0.074503014
"Moorgate",13,0.130649327,0.005291272,0.798035605,0.171275741,0.03006705
"Mill Hill East",0,0,0,0,0,0
"Moor Park",2,1.131861913,0.639386189,0.531914894,0.710984714,0.080925791
"Manor House",2,0.040836328,0.035403243,0.250312891,0.070452304,0.014491493
"Mansion House",0,0,0,0,0,0
"Mornington Crescent",5,0.034282737,0.015640983,0.68119891,0.374027528,0.04506372
"Maida Vale",2,0.011501193,0.014480162,0.280112045,0.200260338,0.029679755
"Marylebone",1,0.00430949,0.001947693,0.140056022,0.026665956,0.006207864
"North Acton",6,0.258732212,0.137772675,0.767263427,0.353815308,0.061786876
"Newbury Park",3,0.096401028,0.119460041,0.675675676,0.238625517,0.152780607
"Neasden",0,0,0,0,0,0
"North Ealing",1,0.018919686,0.019866892,0.357142857,0.331235508,0.024832381
"Northfields",7,0.122613417,0.166038094,1.286764706,0.534881944,0.079123761
"North Greenwich",19,1.166288135,1.14416476,2.038626609,0.264083284,0.088585109
"North Harrow",0,0,0,0,0,0
"Notting Hill Gate",7,0.041646092,0.034109902,0.531107739,0.144184226,0.028905314
"Northolt",4,0.224820144,0.262518869,1.020408163,0.281908521,0.152380952
"Northwick Park",1,0.030276424,0.027477057,0.147058824,0.079013906,0.009708644
"Northwood",3,0.252185609,0.297737197,0.79787234,0.406118857,0.096755467
"Northwood Hills",0,0,0,0,0,0
"North Wembley",2,0.041898856,0.053113796,0.925925926,0.46253469,0.095570316
"Oakwood",1,0.067636118,0.086080744,0.156739812,0.135924969,0.078462142
"Old Street",8,0.071915284,0.006066227,1.079622132,0.110115484,0.033833219
"Osterley",1,0.036089357,0.049113501,0.221238938,0.145857643,0.013544813
"Oval",7,0.071879653,0.072179087,0.852618758,0.366530527,0.044018513
"Oxford Circus",59,0.327664915,0.031554936,2.269230769,0.233600456,0.06549261
"Paddington",9,0.039125331,0.021964452,0.566393958,0.062583009,0.032648086
"Piccadilly Circus",24,0.244289728,0.012641686,1.586252479,0.202961547,0.055896498
"Pimlico",5,0.045148765,0.015164198,0.49652433,0.155753536,0.022808034
"Park Royal",1,0.032754668,0.021752844,0.357142857,0.193199382,0.025221953
"Plaistow",6,0.090313841,0.11411617,0.751879699,0.296398755,0.039295819
"Pinner",1,0.073195725,0.090009001,0.265957447,0.117980179,0.023914291
"Preston Road",1,0.024753701,0.031064583,0.147058824,0.10093873,0.009249496
"Parsons Green",4,0.043526519,0.048148683,0.829875519,0.193760899,0.044130627
"Perivale",0,0,0,0,0,0
"Putney Bridge",1,0.016650294,0.016921619,0.207900208,0.055346469,0.013184437
"Queensbury",6,0.160359205,0.20839122,0.940438871,0.526962937,0.21316659
"Queen's Park",6,0.052587295,0.065858799,0.837988827,0.34480777,0.103799045
"Queensway",1,0.005057708,0.003503719,0.113895216,0.041438754,0.004969981
"Redbridge",0,0,0,0,0,0
"Regent's Park",7,0.032230735,0.005971784,0.980392157,0.568458665,0.039290966
"Rickmansworth",3,0.542299349,0.382946132,1.639344262,0.407830343,0.148272624
"Richmond",1,0.068780521,0.052620501,0.438596491,0.029823149,0.029763676
"Ruislip Gardens",1,0.035555556,0.051469453,0.306748466,0.305623472,0.130736044
"Ruislip Manor",0,0,0,0,0,0
"Ruislip",1,0.029805371,0.037623688,0.210970464,0.182515057,0.029144323
"Russell Square",2,0.008798596,0.001549972,0.250312891,0.04898359,0.009336807
"Ravenscourt Park",0,0,0,0,0,0
"Roding Valley",1,0.056570685,0.075227563,0.869565217,1.402524544,0.076858043
"Rayners Lane",5,0.159418442,0.205389418,0.834724541,0.383053704,0.091275854
"Royal Oak",0,0,0,0,0,0
"Shepherd's Bush (Cen)",12,0.054098405,0.043957815,1.366742597,0.185801657,0.073969968
"Shepherd's Bush Market",0,0,0,0,0,0
"South Ealing",5,0.089774666,0.119044785,0.920810313,0.467158741,0.052038883
"Stamford Brook",2,0.024028931,0.021307651,0.405679513,0.230202578,0.023449958
"Southfields",4,0.100165273,0.147852443,0.831600832,0.217616017,0.073943987
"Stepney Green",3,0.025591374,0.026227444,0.37593985,0.192579278,0.020371163
"Stonebridge Park",3,0.141229639,0.114025086,0.900900901,0.424868999,0.085176457
"Southgate",4,0.231964741,0.242453631,0.626959248,0.251161623,0.141048697
"South Harrow",3,0.116590883,0.139153022,1.071428571,0.411353353,0.126512883
"St. James's Park",3,0.037979972,0.003424806,0.326086957,0.057503211,0.01001402
"St. John's Wood",5,0.046039668,0.051956689,0.536480687,0.220887083,0.03215827
"South Kensington",10,0.098094995,0.062027813,0.581057525,0.101712844,0.019960956
"South Kenton",0,0,0,0,0,0
"Stockwell",12,0.103687831,0.146862647,0.656455142,0.431825542,0.036257939
"Snaresbrook",0,0,0,0,0,0
"St. Paul's",17,0.173481779,0.006515502,1.936218679,0.33498197,0.047533035
"South Ruislip",1,0.060573021,0.073740875,0.306748466,0.190766883,0.078945291
"Sloane Square",1,0.011827601,0.004473112,0.108695652,0.018813967,0.003339333
"Stratford",83,3.582372998,2.942114778,5.079559364,0.449984007,0.241847834
"Stanmore",3,0.229165075,0.258308937,0.47318612,0.278164117,0.278164117
"Sudbury Hill",6,0.24742268,0.320290397,2.142857143,0.898607159,0.216841344
"Sudbury Town",2,0.056146655,0.073190368,0.714285714,0.31377471,0.063219117
"Seven Sisters",28,0.593258046,0.642039852,2.775024777,0.490350601,0.187750614
"Swiss Cottage",4,0.032390238,0.036828682,0.429184549,0.165583475,0.027965965
"South Woodford",1,0.036998668,0.050517808,0.228310502,0.068643602,0.013929517
"Southwark",4,0.030119802,0.003331581,0.429184549,0.096602024,0.012611414
"South Wimbledon",3,0.068971859,0.067815001,0.365408039,0.249128052,0.08456898
"Totteridge & Whetstone",3,0.228850408,0.237981913,0.439882698,0.463177397,0.18735948
"Tooting Bec",5,0.075572081,0.10739985,0.609013398,0.228060573,0.047145794
"Tooting Broadway",5,0.081091163,0.08668516,0.609013398,0.118728184,0.055613022
"Tottenham Court Road",28,0.144309069,0.012860324,1.736972705,0.253441831,0.056566571
"Tufnell Park",1,0.011887638,0.012537927,0.135869565,0.088136788,0.008998146
"Theydon Bois",0,0,0,0,0,0
"Tottenham Hale",4,0.124486493,0.115413469,0.583090379,0.129399586,0.041118421
