time,under 20,20 to 24,25 to 34,35 to 44,45 to 59,60+
4,0.022852608,0.176994092,0.382653996,0.201786695,0.188688332,0.027024277
7,0.026869445,0.129946416,0.318316395,0.240176714,0.259513403,0.025177627
10,0.05051059,0.173396122,0.228286995,0.19446501,0.274431556,0.078909729
16,0.037815164,0.153842698,0.27367951,0.213401289,0.277502264,0.043759074
19,0.024006275,0.167908249,0.348786331,0.218852685,0.216898094,0.023548366
22,0.022852608,0.176994092,0.382653996,0.201786695,0.188688332,0.027024277
24,0.022852608,0.176994092,0.382653996,0.201786695,0.188688332,0.027024277
